T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,10,GRAYSON COUNTY,Grade 10,1587
2014-2015,10,GRAYSON COUNTY,Grade 11,1514
2014-2015,10,GRAYSON COUNTY,Grade 12,1349
2014-2015,7,GREGG COUNTY,Early Education,78
2014-2015,7,GREGG COUNTY,Pre-kindergarten,1138
2014-2015,7,GREGG COUNTY,Kindergarten,1909
2014-2015,7,GREGG COUNTY,Grade  1,1972
2014-2015,7,GREGG COUNTY,Grade  2,1985
2014-2015,7,GREGG COUNTY,Grade  3,1863
2014-2015,7,GREGG COUNTY,Grade  4,1810
2014-2015,7,GREGG COUNTY,Grade  5,1745
2014-2015,7,GREGG COUNTY,Grade  6,1762
2014-2015,7,GREGG COUNTY,Grade  7,1759
2014-2015,7,GREGG COUNTY,Grade  8,1719
2014-2015,7,GREGG COUNTY,Grade  9,1795
2014-2015,7,GREGG COUNTY,Grade 10,1639
2014-2015,7,GREGG COUNTY,Grade 11,1598
2014-2015,7,GREGG COUNTY,Grade 12,1467
2014-2015,6,GRIMES COUNTY,Early Education,5
2014-2015,6,GRIMES COUNTY,Pre-kindergarten,270
2014-2015,6,GRIMES COUNTY,Kindergarten,329
2014-2015,6,GRIMES COUNTY,Grade  1,383
2014-2015,6,GRIMES COUNTY,Grade  2,332
2014-2015,6,GRIMES COUNTY,Grade  3,349
2014-2015,6,GRIMES COUNTY,Grade  4,328
2014-2015,6,GRIMES COUNTY,Grade  5,323
2014-2015,6,GRIMES COUNTY,Grade  6,339
2014-2015,6,GRIMES COUNTY,Grade  7,336
2014-2015,6,GRIMES COUNTY,Grade  8,341
2014-2015,6,GRIMES COUNTY,Grade  9,327
2014-2015,6,GRIMES COUNTY,Grade 10,291
2014-2015,6,GRIMES COUNTY,Grade 11,295
2014-2015,6,GRIMES COUNTY,Grade 12,226
2014-2015,13,GUADALUPE COUNTY/13,Early Education,15
2014-2015,13,GUADALUPE COUNTY/13,Pre-kindergarten,611
2014-2015,13,GUADALUPE COUNTY/13,Kindergarten,723
2014-2015,13,GUADALUPE COUNTY/13,Grade  1,783
2014-2015,13,GUADALUPE COUNTY/13,Grade  2,779
2014-2015,13,GUADALUPE COUNTY/13,Grade  3,822
2014-2015,13,GUADALUPE COUNTY/13,Grade  4,788
2014-2015,13,GUADALUPE COUNTY/13,Grade  5,762
2014-2015,13,GUADALUPE COUNTY/13,Grade  6,711
2014-2015,13,GUADALUPE COUNTY/13,Grade  7,779
2014-2015,13,GUADALUPE COUNTY/13,Grade  8,785
2014-2015,13,GUADALUPE COUNTY/13,Grade  9,894
2014-2015,13,GUADALUPE COUNTY/13,Grade 10,762
2014-2015,13,GUADALUPE COUNTY/13,Grade 11,739
2014-2015,13,GUADALUPE COUNTY/13,Grade 12,668
2014-2015,20,GUADALUPE COUNTY/20,Early Education,50
2014-2015,20,GUADALUPE COUNTY/20,Pre-kindergarten,295
2014-2015,20,GUADALUPE COUNTY/20,Kindergarten,985
2014-2015,20,GUADALUPE COUNTY/20,Grade  1,1030
2014-2015,20,GUADALUPE COUNTY/20,Grade  2,1005
2014-2015,20,GUADALUPE COUNTY/20,Grade  3,989
2014-2015,20,GUADALUPE COUNTY/20,Grade  4,1119
2014-2015,20,GUADALUPE COUNTY/20,Grade  5,1123
2014-2015,20,GUADALUPE COUNTY/20,Grade  6,1088
2014-2015,20,GUADALUPE COUNTY/20,Grade  7,1121
2014-2015,20,GUADALUPE COUNTY/20,Grade  8,1090
2014-2015,20,GUADALUPE COUNTY/20,Grade  9,1308
2014-2015,20,GUADALUPE COUNTY/20,Grade 10,1275
2014-2015,20,GUADALUPE COUNTY/20,Grade 11,1085
2014-2015,20,GUADALUPE COUNTY/20,Grade 12,1075
2014-2015,AL,GUADALUPE COUNTY/ALL,Early Education,65
2014-2015,AL,GUADALUPE COUNTY/ALL,Pre-kindergarten,906
2014-2015,AL,GUADALUPE COUNTY/ALL,Kindergarten,1708
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  1,1813
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  2,1784
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  3,1811
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  4,1907
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  5,1885
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  6,1799
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  7,1900
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  8,1875
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade  9,2202
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade 10,2037
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade 11,1824
2014-2015,AL,GUADALUPE COUNTY/ALL,Grade 12,1743
2014-2015,17,HALE COUNTY,Early Education,26
2014-2015,17,HALE COUNTY,Pre-kindergarten,396
2014-2015,17,HALE COUNTY,Kindergarten,595
2014-2015,17,HALE COUNTY,Grade  1,566
2014-2015,17,HALE COUNTY,Grade  2,637
2014-2015,17,HALE COUNTY,Grade  3,549
2014-2015,17,HALE COUNTY,Grade  4,509
2014-2015,17,HALE COUNTY,Grade  5,554
2014-2015,17,HALE COUNTY,Grade  6,525
2014-2015,17,HALE COUNTY,Grade  7,540
2014-2015,17,HALE COUNTY,Grade  8,533
2014-2015,17,HALE COUNTY,Grade  9,523
2014-2015,17,HALE COUNTY,Grade 10,519
2014-2015,17,HALE COUNTY,Grade 11,477
2014-2015,17,HALE COUNTY,Grade 12,410
2014-2015,16,HALL COUNTY,Pre-kindergarten,63
2014-2015,16,HALL COUNTY,Kindergarten,46
2014-2015,16,HALL COUNTY,Grade  1,53
2014-2015,16,HALL COUNTY,Grade  2,47
2014-2015,16,HALL COUNTY,Grade  3,53
2014-2015,16,HALL COUNTY,Grade  4,58
2014-2015,16,HALL COUNTY,Grade  5,42
2014-2015,16,HALL COUNTY,Grade  6,58
2014-2015,16,HALL COUNTY,Grade  7,49
2014-2015,16,HALL COUNTY,Grade  8,55
2014-2015,16,HALL COUNTY,Grade  9,43
2014-2015,16,HALL COUNTY,Grade 10,64
2014-2015,16,HALL COUNTY,Grade 11,46
2014-2015,16,HALL COUNTY,Grade 12,50
2014-2015,12,HAMILTON COUNTY,Early Education,-9999999
2014-2015,12,HAMILTON COUNTY,Pre-kindergarten,67
2014-2015,12,HAMILTON COUNTY,Kindergarten,112
2014-2015,12,HAMILTON COUNTY,Grade  1,108
2014-2015,12,HAMILTON COUNTY,Grade  2,86
2014-2015,12,HAMILTON COUNTY,Grade  3,99
2014-2015,12,HAMILTON COUNTY,Grade  4,80
2014-2015,12,HAMILTON COUNTY,Grade  5,101
2014-2015,12,HAMILTON COUNTY,Grade  6,92
2014-2015,12,HAMILTON COUNTY,Grade  7,85
2014-2015,12,HAMILTON COUNTY,Grade  8,90
2014-2015,12,HAMILTON COUNTY,Grade  9,110
2014-2015,12,HAMILTON COUNTY,Grade 10,101
2014-2015,12,HAMILTON COUNTY,Grade 11,86
2014-2015,12,HAMILTON COUNTY,Grade 12,108
2014-2015,16,HANSFORD COUNTY,Early Education,-9999999
2014-2015,16,HANSFORD COUNTY,Pre-kindergarten,86
2014-2015,16,HANSFORD COUNTY,Kindergarten,89
2014-2015,16,HANSFORD COUNTY,Grade  1,114
2014-2015,16,HANSFORD COUNTY,Grade  2,108
2014-2015,16,HANSFORD COUNTY,Grade  3,119
2014-2015,16,HANSFORD COUNTY,Grade  4,123
2014-2015,16,HANSFORD COUNTY,Grade  5,125
2014-2015,16,HANSFORD COUNTY,Grade  6,101
2014-2015,16,HANSFORD COUNTY,Grade  7,99
2014-2015,16,HANSFORD COUNTY,Grade  8,107
2014-2015,16,HANSFORD COUNTY,Grade  9,114
2014-2015,16,HANSFORD COUNTY,Grade 10,79
2014-2015,16,HANSFORD COUNTY,Grade 11,89
2014-2015,16,HANSFORD COUNTY,Grade 12,95
2014-2015,9,HARDEMAN COUNTY,Pre-kindergarten,60
2014-2015,9,HARDEMAN COUNTY,Kindergarten,53
2014-2015,9,HARDEMAN COUNTY,Grade  1,58
2014-2015,9,HARDEMAN COUNTY,Grade  2,58
2014-2015,9,HARDEMAN COUNTY,Grade  3,62
2014-2015,9,HARDEMAN COUNTY,Grade  4,56
2014-2015,9,HARDEMAN COUNTY,Grade  5,53
2014-2015,9,HARDEMAN COUNTY,Grade  6,49
2014-2015,9,HARDEMAN COUNTY,Grade  7,44
2014-2015,9,HARDEMAN COUNTY,Grade  8,51
2014-2015,9,HARDEMAN COUNTY,Grade  9,53
2014-2015,9,HARDEMAN COUNTY,Grade 10,43
2014-2015,9,HARDEMAN COUNTY,Grade 11,46
2014-2015,9,HARDEMAN COUNTY,Grade 12,49
2014-2015,5,HARDIN COUNTY,Early Education,74
2014-2015,5,HARDIN COUNTY,Pre-kindergarten,232
2014-2015,5,HARDIN COUNTY,Kindergarten,834
2014-2015,5,HARDIN COUNTY,Grade  1,878
2014-2015,5,HARDIN COUNTY,Grade  2,859
2014-2015,5,HARDIN COUNTY,Grade  3,770
2014-2015,5,HARDIN COUNTY,Grade  4,754
2014-2015,5,HARDIN COUNTY,Grade  5,845
2014-2015,5,HARDIN COUNTY,Grade  6,759
2014-2015,5,HARDIN COUNTY,Grade  7,802
2014-2015,5,HARDIN COUNTY,Grade  8,811
2014-2015,5,HARDIN COUNTY,Grade  9,848
2014-2015,5,HARDIN COUNTY,Grade 10,800
2014-2015,5,HARDIN COUNTY,Grade 11,758
2014-2015,5,HARDIN COUNTY,Grade 12,690
2014-2015,4,HARRIS COUNTY,Early Education,3391
2014-2015,4,HARRIS COUNTY,Pre-kindergarten,43990
2014-2015,4,HARRIS COUNTY,Kindergarten,68610
2014-2015,4,HARRIS COUNTY,Grade  1,71828
2014-2015,4,HARRIS COUNTY,Grade  2,70892
2014-2015,4,HARRIS COUNTY,Grade  3,68104
2014-2015,4,HARRIS COUNTY,Grade  4,66209
2014-2015,4,HARRIS COUNTY,Grade  5,65405
2014-2015,4,HARRIS COUNTY,Grade  6,64661
2014-2015,4,HARRIS COUNTY,Grade  7,63976
2014-2015,4,HARRIS COUNTY,Grade  8,64148
2014-2015,4,HARRIS COUNTY,Grade  9,70551
2014-2015,4,HARRIS COUNTY,Grade 10,60816
2014-2015,4,HARRIS COUNTY,Grade 11,56208
2014-2015,4,HARRIS COUNTY,Grade 12,50943
2014-2015,7,HARRISON COUNTY,Early Education,15
2014-2015,7,HARRISON COUNTY,Pre-kindergarten,511
2014-2015,7,HARRISON COUNTY,Kindergarten,1007
2014-2015,7,HARRISON COUNTY,Grade  1,1012
2014-2015,7,HARRISON COUNTY,Grade  2,1050
2014-2015,7,HARRISON COUNTY,Grade  3,1059
2014-2015,7,HARRISON COUNTY,Grade  4,1021
2014-2015,7,HARRISON COUNTY,Grade  5,997
2014-2015,7,HARRISON COUNTY,Grade  6,966
2014-2015,7,HARRISON COUNTY,Grade  7,968
2014-2015,7,HARRISON COUNTY,Grade  8,1001
2014-2015,7,HARRISON COUNTY,Grade  9,982
2014-2015,7,HARRISON COUNTY,Grade 10,942
2014-2015,7,HARRISON COUNTY,Grade 11,874
2014-2015,7,HARRISON COUNTY,Grade 12,790
2014-2015,16,HARTLEY COUNTY,Pre-kindergarten,18
2014-2015,16,HARTLEY COUNTY,Kindergarten,32
2014-2015,16,HARTLEY COUNTY,Grade  1,35
2014-2015,16,HARTLEY COUNTY,Grade  2,21
2014-2015,16,HARTLEY COUNTY,Grade  3,19
2014-2015,16,HARTLEY COUNTY,Grade  4,26
2014-2015,16,HARTLEY COUNTY,Grade  5,24
2014-2015,16,HARTLEY COUNTY,Grade  6,36
2014-2015,16,HARTLEY COUNTY,Grade  7,31
2014-2015,16,HARTLEY COUNTY,Grade  8,26
2014-2015,16,HARTLEY COUNTY,Grade  9,30
2014-2015,16,HARTLEY COUNTY,Grade 10,29
2014-2015,16,HARTLEY COUNTY,Grade 11,28
2014-2015,16,HARTLEY COUNTY,Grade 12,20
2014-2015,14,HASKELL COUNTY,Early Education,6
2014-2015,14,HASKELL COUNTY,Pre-kindergarten,67
2014-2015,14,HASKELL COUNTY,Kindergarten,69
2014-2015,14,HASKELL COUNTY,Grade  1,80
2014-2015,14,HASKELL COUNTY,Grade  2,63
2014-2015,14,HASKELL COUNTY,Grade  3,60
2014-2015,14,HASKELL COUNTY,Grade  4,52
2014-2015,14,HASKELL COUNTY,Grade  5,64
2014-2015,14,HASKELL COUNTY,Grade  6,65
2014-2015,14,HASKELL COUNTY,Grade  7,68
2014-2015,14,HASKELL COUNTY,Grade  8,61
2014-2015,14,HASKELL COUNTY,Grade  9,56
2014-2015,14,HASKELL COUNTY,Grade 10,61
2014-2015,14,HASKELL COUNTY,Grade 11,46
2014-2015,14,HASKELL COUNTY,Grade 12,52
2014-2015,13,HAYS COUNTY,Early Education,165
2014-2015,13,HAYS COUNTY,Pre-kindergarten,1016
2014-2015,13,HAYS COUNTY,Kindergarten,2469
2014-2015,13,HAYS COUNTY,Grade  1,2623
2014-2015,13,HAYS COUNTY,Grade  2,2583
2014-2015,13,HAYS COUNTY,Grade  3,2555
2014-2015,13,HAYS COUNTY,Grade  4,2611
2014-2015,13,HAYS COUNTY,Grade  5,2595
2014-2015,13,HAYS COUNTY,Grade  6,2536
2014-2015,13,HAYS COUNTY,Grade  7,2490
2014-2015,13,HAYS COUNTY,Grade  8,2622
2014-2015,13,HAYS COUNTY,Grade  9,2668
2014-2015,13,HAYS COUNTY,Grade 10,2533
2014-2015,13,HAYS COUNTY,Grade 11,2185
2014-2015,13,HAYS COUNTY,Grade 12,2019
2014-2015,16,HEMPHILL COUNTY,Early Education,-9999999
2014-2015,16,HEMPHILL COUNTY,Pre-kindergarten,77
2014-2015,16,HEMPHILL COUNTY,Kindergarten,73
2014-2015,16,HEMPHILL COUNTY,Grade  1,84
2014-2015,16,HEMPHILL COUNTY,Grade  2,100
2014-2015,16,HEMPHILL COUNTY,Grade  3,85
2014-2015,16,HEMPHILL COUNTY,Grade  4,84
2014-2015,16,HEMPHILL COUNTY,Grade  5,70
2014-2015,16,HEMPHILL COUNTY,Grade  6,75
2014-2015,16,HEMPHILL COUNTY,Grade  7,72
2014-2015,16,HEMPHILL COUNTY,Grade  8,74
2014-2015,16,HEMPHILL COUNTY,Grade  9,94
2014-2015,16,HEMPHILL COUNTY,Grade 10,64
2014-2015,16,HEMPHILL COUNTY,Grade 11,49
2014-2015,16,HEMPHILL COUNTY,Grade 12,47
2014-2015,7,HENDERSON COUNTY,Early Education,20
2014-2015,7,HENDERSON COUNTY,Pre-kindergarten,398
2014-2015,7,HENDERSON COUNTY,Kindergarten,777
2014-2015,7,HENDERSON COUNTY,Grade  1,787
2014-2015,7,HENDERSON COUNTY,Grade  2,806
2014-2015,7,HENDERSON COUNTY,Grade  3,766
2014-2015,7,HENDERSON COUNTY,Grade  4,744
2014-2015,7,HENDERSON COUNTY,Grade  5,709
2014-2015,7,HENDERSON COUNTY,Grade  6,746
2014-2015,7,HENDERSON COUNTY,Grade  7,745
2014-2015,7,HENDERSON COUNTY,Grade  8,766
2014-2015,7,HENDERSON COUNTY,Grade  9,789
2014-2015,7,HENDERSON COUNTY,Grade 10,794
2014-2015,7,HENDERSON COUNTY,Grade 11,726
2014-2015,7,HENDERSON COUNTY,Grade 12,608
2014-2015,1,HIDALGO COUNTY,Early Education,609
2014-2015,1,HIDALGO COUNTY,Pre-kindergarten,12195
2014-2015,1,HIDALGO COUNTY,Kindergarten,16726
2014-2015,1,HIDALGO COUNTY,Grade  1,17616
2014-2015,1,HIDALGO COUNTY,Grade  2,17717
2014-2015,1,HIDALGO COUNTY,Grade  3,16947
2014-2015,1,HIDALGO COUNTY,Grade  4,16786
2014-2015,1,HIDALGO COUNTY,Grade  5,16524
2014-2015,1,HIDALGO COUNTY,Grade  6,17147
2014-2015,1,HIDALGO COUNTY,Grade  7,16818
2014-2015,1,HIDALGO COUNTY,Grade  8,16877
2014-2015,1,HIDALGO COUNTY,Grade  9,18423
2014-2015,1,HIDALGO COUNTY,Grade 10,15169
2014-2015,1,HIDALGO COUNTY,Grade 11,13873
2014-2015,1,HIDALGO COUNTY,Grade 12,12601
2014-2015,12,HILL COUNTY,Early Education,17
2014-2015,12,HILL COUNTY,Pre-kindergarten,476
2014-2015,12,HILL COUNTY,Kindergarten,443
2014-2015,12,HILL COUNTY,Grade  1,488
2014-2015,12,HILL COUNTY,Grade  2,498
2014-2015,12,HILL COUNTY,Grade  3,477
2014-2015,12,HILL COUNTY,Grade  4,481
2014-2015,12,HILL COUNTY,Grade  5,436
2014-2015,12,HILL COUNTY,Grade  6,430
2014-2015,12,HILL COUNTY,Grade  7,464
2014-2015,12,HILL COUNTY,Grade  8,507
2014-2015,12,HILL COUNTY,Grade  9,455
2014-2015,12,HILL COUNTY,Grade 10,450
2014-2015,12,HILL COUNTY,Grade 11,423
2014-2015,12,HILL COUNTY,Grade 12,415
2014-2015,17,HOCKLEY COUNTY,Early Education,50
2014-2015,17,HOCKLEY COUNTY,Pre-kindergarten,337
2014-2015,17,HOCKLEY COUNTY,Kindergarten,411
2014-2015,17,HOCKLEY COUNTY,Grade  1,392
2014-2015,17,HOCKLEY COUNTY,Grade  2,377
2014-2015,17,HOCKLEY COUNTY,Grade  3,313
2014-2015,17,HOCKLEY COUNTY,Grade  4,350
2014-2015,17,HOCKLEY COUNTY,Grade  5,366
2014-2015,17,HOCKLEY COUNTY,Grade  6,345
2014-2015,17,HOCKLEY COUNTY,Grade  7,358
2014-2015,17,HOCKLEY COUNTY,Grade  8,380
2014-2015,17,HOCKLEY COUNTY,Grade  9,362
2014-2015,17,HOCKLEY COUNTY,Grade 10,347
2014-2015,17,HOCKLEY COUNTY,Grade 11,293
2014-2015,17,HOCKLEY COUNTY,Grade 12,294
2014-2015,11,HOOD COUNTY,Early Education,43
2014-2015,11,HOOD COUNTY,Pre-kindergarten,253
2014-2015,11,HOOD COUNTY,Kindergarten,573
2014-2015,11,HOOD COUNTY,Grade  1,668
2014-2015,11,HOOD COUNTY,Grade  2,585
2014-2015,11,HOOD COUNTY,Grade  3,620
2014-2015,11,HOOD COUNTY,Grade  4,605
2014-2015,11,HOOD COUNTY,Grade  5,567
2014-2015,11,HOOD COUNTY,Grade  6,581
2014-2015,11,HOOD COUNTY,Grade  7,587
2014-2015,11,HOOD COUNTY,Grade  8,594
2014-2015,11,HOOD COUNTY,Grade  9,614
2014-2015,11,HOOD COUNTY,Grade 10,604
2014-2015,11,HOOD COUNTY,Grade 11,554
2014-2015,11,HOOD COUNTY,Grade 12,498
2014-2015,8,HOPKINS COUNTY,Early Education,25
2014-2015,8,HOPKINS COUNTY,Pre-kindergarten,386
2014-2015,8,HOPKINS COUNTY,Kindergarten,521
2014-2015,8,HOPKINS COUNTY,Grade  1,530
2014-2015,8,HOPKINS COUNTY,Grade  2,487
2014-2015,8,HOPKINS COUNTY,Grade  3,484
2014-2015,8,HOPKINS COUNTY,Grade  4,493
2014-2015,8,HOPKINS COUNTY,Grade  5,490
2014-2015,8,HOPKINS COUNTY,Grade  6,483
2014-2015,8,HOPKINS COUNTY,Grade  7,501
2014-2015,8,HOPKINS COUNTY,Grade  8,533
2014-2015,8,HOPKINS COUNTY,Grade  9,479
2014-2015,8,HOPKINS COUNTY,Grade 10,476
2014-2015,8,HOPKINS COUNTY,Grade 11,428
2014-2015,8,HOPKINS COUNTY,Grade 12,415
2014-2015,6,HOUSTON COUNTY,Pre-kindergarten,236
2014-2015,6,HOUSTON COUNTY,Kindergarten,223
2014-2015,6,HOUSTON COUNTY,Grade  1,227
2014-2015,6,HOUSTON COUNTY,Grade  2,248
2014-2015,6,HOUSTON COUNTY,Grade  3,223
2014-2015,6,HOUSTON COUNTY,Grade  4,207
2014-2015,6,HOUSTON COUNTY,Grade  5,224
2014-2015,6,HOUSTON COUNTY,Grade  6,222
2014-2015,6,HOUSTON COUNTY,Grade  7,234
2014-2015,6,HOUSTON COUNTY,Grade  8,216
2014-2015,6,HOUSTON COUNTY,Grade  9,211
2014-2015,6,HOUSTON COUNTY,Grade 10,226
2014-2015,6,HOUSTON COUNTY,Grade 11,235
2014-2015,6,HOUSTON COUNTY,Grade 12,190
2014-2015,18,HOWARD COUNTY,Early Education,19
2014-2015,18,HOWARD COUNTY,Pre-kindergarten,122
2014-2015,18,HOWARD COUNTY,Kindergarten,474
2014-2015,18,HOWARD COUNTY,Grade  1,516
2014-2015,18,HOWARD COUNTY,Grade  2,536
2014-2015,18,HOWARD COUNTY,Grade  3,493
2014-2015,18,HOWARD COUNTY,Grade  4,440
2014-2015,18,HOWARD COUNTY,Grade  5,471
2014-2015,18,HOWARD COUNTY,Grade  6,462
2014-2015,18,HOWARD COUNTY,Grade  7,469
2014-2015,18,HOWARD COUNTY,Grade  8,439
2014-2015,18,HOWARD COUNTY,Grade  9,429
2014-2015,18,HOWARD COUNTY,Grade 10,383
2014-2015,18,HOWARD COUNTY,Grade 11,320
2014-2015,18,HOWARD COUNTY,Grade 12,318
2014-2015,19,HUDSPETH COUNTY,Pre-kindergarten,21
2014-2015,19,HUDSPETH COUNTY,Kindergarten,52
2014-2015,19,HUDSPETH COUNTY,Grade  1,36
2014-2015,19,HUDSPETH COUNTY,Grade  2,47
2014-2015,19,HUDSPETH COUNTY,Grade  3,52
2014-2015,19,HUDSPETH COUNTY,Grade  4,39
2014-2015,19,HUDSPETH COUNTY,Grade  5,48
2014-2015,19,HUDSPETH COUNTY,Grade  6,51
2014-2015,19,HUDSPETH COUNTY,Grade  7,52
2014-2015,19,HUDSPETH COUNTY,Grade  8,53
2014-2015,19,HUDSPETH COUNTY,Grade  9,60
2014-2015,19,HUDSPETH COUNTY,Grade 10,50
2014-2015,19,HUDSPETH COUNTY,Grade 11,51
2014-2015,19,HUDSPETH COUNTY,Grade 12,41
2014-2015,10,HUNT COUNTY,Early Education,28
2014-2015,10,HUNT COUNTY,Pre-kindergarten,767
2014-2015,10,HUNT COUNTY,Kindergarten,1099
2014-2015,10,HUNT COUNTY,Grade  1,1201
2014-2015,10,HUNT COUNTY,Grade  2,1088
2014-2015,10,HUNT COUNTY,Grade  3,1046
2014-2015,10,HUNT COUNTY,Grade  4,1058
2014-2015,10,HUNT COUNTY,Grade  5,1051
2014-2015,10,HUNT COUNTY,Grade  6,1082
2014-2015,10,HUNT COUNTY,Grade  7,1103
2014-2015,10,HUNT COUNTY,Grade  8,1125
2014-2015,10,HUNT COUNTY,Grade  9,1087
2014-2015,10,HUNT COUNTY,Grade 10,1113
2014-2015,10,HUNT COUNTY,Grade 11,973
2014-2015,10,HUNT COUNTY,Grade 12,872
2014-2015,16,HUTCHINSON COUNTY,Early Education,-9999999
2014-2015,16,HUTCHINSON COUNTY,Pre-kindergarten,279
2014-2015,16,HUTCHINSON COUNTY,Kindergarten,329
2014-2015,16,HUTCHINSON COUNTY,Grade  1,323
2014-2015,16,HUTCHINSON COUNTY,Grade  2,340
2014-2015,16,HUTCHINSON COUNTY,Grade  3,323
2014-2015,16,HUTCHINSON COUNTY,Grade  4,319
2014-2015,16,HUTCHINSON COUNTY,Grade  5,306
2014-2015,16,HUTCHINSON COUNTY,Grade  6,319
2014-2015,16,HUTCHINSON COUNTY,Grade  7,294
2014-2015,16,HUTCHINSON COUNTY,Grade  8,299
2014-2015,16,HUTCHINSON COUNTY,Grade  9,306
2014-2015,16,HUTCHINSON COUNTY,Grade 10,322
2014-2015,16,HUTCHINSON COUNTY,Grade 11,294
2014-2015,16,HUTCHINSON COUNTY,Grade 12,286
2014-2015,15,IRION COUNTY,Early Education,-9999999
2014-2015,15,IRION COUNTY,Kindergarten,17
2014-2015,15,IRION COUNTY,Grade  1,25
2014-2015,15,IRION COUNTY,Grade  2,19
2014-2015,15,IRION COUNTY,Grade  3,16
2014-2015,15,IRION COUNTY,Grade  4,27
2014-2015,15,IRION COUNTY,Grade  5,28
2014-2015,15,IRION COUNTY,Grade  6,27
2014-2015,15,IRION COUNTY,Grade  7,31
2014-2015,15,IRION COUNTY,Grade  8,19
2014-2015,15,IRION COUNTY,Grade  9,38
2014-2015,15,IRION COUNTY,Grade 10,34
2014-2015,15,IRION COUNTY,Grade 11,25
2014-2015,15,IRION COUNTY,Grade 12,28
2014-2015,9,JACK COUNTY,Early Education,5
2014-2015,9,JACK COUNTY,Pre-kindergarten,68
2014-2015,9,JACK COUNTY,Kindergarten,112
2014-2015,9,JACK COUNTY,Grade  1,119
2014-2015,9,JACK COUNTY,Grade  2,124
2014-2015,9,JACK COUNTY,Grade  3,122
2014-2015,9,JACK COUNTY,Grade  4,126
2014-2015,9,JACK COUNTY,Grade  5,121
2014-2015,9,JACK COUNTY,Grade  6,123
2014-2015,9,JACK COUNTY,Grade  7,108
2014-2015,9,JACK COUNTY,Grade  8,122
2014-2015,9,JACK COUNTY,Grade  9,126
2014-2015,9,JACK COUNTY,Grade 10,124
2014-2015,9,JACK COUNTY,Grade 11,106
2014-2015,9,JACK COUNTY,Grade 12,107
2014-2015,3,JACKSON COUNTY,Early Education,16
2014-2015,3,JACKSON COUNTY,Pre-kindergarten,137
2014-2015,3,JACKSON COUNTY,Kindergarten,271
2014-2015,3,JACKSON COUNTY,Grade  1,306
2014-2015,3,JACKSON COUNTY,Grade  2,269
2014-2015,3,JACKSON COUNTY,Grade  3,252
2014-2015,3,JACKSON COUNTY,Grade  4,270
2014-2015,3,JACKSON COUNTY,Grade  5,241
2014-2015,3,JACKSON COUNTY,Grade  6,246
2014-2015,3,JACKSON COUNTY,Grade  7,280
2014-2015,3,JACKSON COUNTY,Grade  8,269
2014-2015,3,JACKSON COUNTY,Grade  9,276
2014-2015,3,JACKSON COUNTY,Grade 10,233
2014-2015,3,JACKSON COUNTY,Grade 11,242
2014-2015,3,JACKSON COUNTY,Grade 12,263
2014-2015,5,JASPER COUNTY,Early Education,38
2014-2015,5,JASPER COUNTY,Pre-kindergarten,255
2014-2015,5,JASPER COUNTY,Kindergarten,503
2014-2015,5,JASPER COUNTY,Grade  1,492
2014-2015,5,JASPER COUNTY,Grade  2,485
2014-2015,5,JASPER COUNTY,Grade  3,461
2014-2015,5,JASPER COUNTY,Grade  4,473
2014-2015,5,JASPER COUNTY,Grade  5,471
2014-2015,5,JASPER COUNTY,Grade  6,498
2014-2015,5,JASPER COUNTY,Grade  7,471
2014-2015,5,JASPER COUNTY,Grade  8,479
2014-2015,5,JASPER COUNTY,Grade  9,498
2014-2015,5,JASPER COUNTY,Grade 10,457
2014-2015,5,JASPER COUNTY,Grade 11,387
2014-2015,5,JASPER COUNTY,Grade 12,405
2014-2015,18,JEFF DAVIS COUNTY,Pre-kindergarten,13
2014-2015,18,JEFF DAVIS COUNTY,Kindergarten,12
2014-2015,18,JEFF DAVIS COUNTY,Grade  1,16
2014-2015,18,JEFF DAVIS COUNTY,Grade  2,13
2014-2015,18,JEFF DAVIS COUNTY,Grade  3,19
2014-2015,18,JEFF DAVIS COUNTY,Grade  4,19
2014-2015,18,JEFF DAVIS COUNTY,Grade  5,29
2014-2015,18,JEFF DAVIS COUNTY,Grade  6,18
2014-2015,18,JEFF DAVIS COUNTY,Grade  7,24
2014-2015,18,JEFF DAVIS COUNTY,Grade  8,15
2014-2015,18,JEFF DAVIS COUNTY,Grade  9,17
2014-2015,18,JEFF DAVIS COUNTY,Grade 10,18
2014-2015,18,JEFF DAVIS COUNTY,Grade 11,21
2014-2015,18,JEFF DAVIS COUNTY,Grade 12,22
2014-2015,5,JEFFERSON COUNTY,Early Education,324
2014-2015,5,JEFFERSON COUNTY,Pre-kindergarten,2327
